City_ID,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp Celsius
187,eufaula,31.8913,-85.1455,94,0,0.0,US,1687599510,20.170000000000016
188,tarakan,3.3,117.6333,74,20,2.57,ID,1687599511,30.870000000000005
189,hasaki,35.7333,140.8333,85,99,3.02,JP,1687599513,26.939999999999998
190,hargeysa,9.56,44.065,23,81,3.3,SO,1687599514,32.389999999999986
191,phayao,19.25,100.25,61,100,0.57,TH,1687599516,29.860000000000014
192,rawson,-43.3002,-65.1023,83,55,4.06,AR,1687599385,8.25
193,ballinasloe,53.3275,-8.2194,70,55,5.78,IE,1687599517,22.00999999999999
194,kasongo-lunda,-6.4667,16.8167,22,35,1.44,CD,1687599519,30.939999999999998
195,laguna,38.421,-121.4238,81,0,3.6,US,1687599519,15.370000000000005
196,moanda,-1.5575,13.2178,45,10,0.66,GA,1687599520,24.279999999999973
197,lagoa,39.05,-27.9833,82,10,5.3,PT,1687599521,19.339999999999975
198,kununurra,-15.7667,128.7333,45,51,0.0,AU,1687599516,30.139999999999986
199,alekseyevsk,57.8406,108.3492,48,100,2.07,RU,1687599522,24.29000000000002
200,aguada de pasajeros,22.385,-80.8508,96,91,2.04,CU,1687599523,25.069999999999993
201,lazaro cardenas,17.9583,-102.2,84,19,1.31,MX,1687599524,26.75999999999999
202,van,38.4924,43.3831,56,20,5.66,TR,1687599438,19.79000000000002
203,encheng,22.1839,112.3026,77,99,4.21,CN,1687599526,30.129999999999995
204,prieska,-29.6641,22.7474,21,0,5.27,ZA,1687599258,22.00999999999999
205,zhangye,38.9342,100.4517,23,65,4.32,CN,1687599529,27.74000000000001
206,beringovskiy,63.05,179.3167,87,91,0.75,RU,1687599530,5.990000000000009
207,spencer,43.1414,-95.1444,71,0,4.12,US,1687599531,22.20999999999998
208,muyezerskiy,63.9333,31.65,89,100,2.63,RU,1687599531,13.649999999999977
209,fairbanks,64.8378,-147.7164,76,75,1.54,US,1687599265,19.129999999999995
210,mushie,-3.0167,16.9,40,17,0.87,CD,1687599534,33.14999999999998
211,kuytun,54.3419,101.5036,52,70,1.1,RU,1687599535,21.939999999999998
212,the valley,18.217,-63.0578,77,40,7.41,AI,1687599537,28.069999999999993
213,cabedelo,-6.9811,-34.8339,83,37,6.0,BR,1687599538,23.519999999999982
214,constitucion,-35.3333,-72.4167,99,100,5.96,CL,1687599539,14.720000000000027
215,pilar,-9.5972,-35.9567,86,11,1.21,BR,1687599540,21.110000000000014
216,grand-lahou,5.1367,-5.0242,90,100,4.78,CI,1687599540,25.220000000000027
217,lompoc,34.6391,-120.4579,87,100,6.26,US,1687599541,14.470000000000027
218,yulara,-25.2406,130.9889,38,0,3.26,AU,1687599079,13.519999999999982
219,ibirite,-20.0219,-44.0589,75,94,1.0,BR,1687599542,11.990000000000009
220,fontem,5.4685,9.8818,94,97,0.54,CM,1687599543,20.49000000000001
221,bandiagara,14.3501,-3.6104,33,69,6.77,ML,1687599543,35.06999999999999
222,isangel,-19.55,169.2667,77,20,1.54,VU,1687599544,19.20999999999998
223,khash,28.2211,61.2158,7,3,7.61,IR,1687599545,41.629999999999995
224,saint-francois,46.4154,3.9054,50,0,3.6,FR,1687599546,25.529999999999973
225,haimen,23.1935,116.6142,84,92,4.49,CN,1687599546,30.089999999999975
226,aklavik,68.2191,-135.0107,67,2,2.55,CA,1687599547,4.660000000000025
227,agadir,30.4202,-9.5982,66,12,2.69,MA,1687599548,25.399999999999977
228,ust-kut,56.7938,105.7672,48,100,1.9,RU,1687599549,23.279999999999973
229,baherden,38.4362,57.4316,18,26,3.09,TM,1687599551,34.48000000000002
230,touros,-5.1989,-35.4608,88,24,5.51,BR,1687599551,24.269999999999982
